Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,gpqa_reasoning_tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
Magistral Small 06/01/2025,,Mistral,Open,128k,,,74.60%,64.10%,7.20%,51.40%,24.10%,,0.963,0.713,,,,,,,,,,,,,,,,,,,,,True,,06/01/2025,23.6,,0.31,201.0,,On Sheet it is mentioned as GPQA not GPQA diamond Scientific Reasongng,,410520.0,3394051.0,48.40%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66792,1851297,,,8.0,66792,1851297,,,,30.00%,,30.00%,1967375,1224.0,flash2.0,,,,,0.5,1.5,0.6620420625,0.75
GPT-4o (Nov '24) 11/01/2024,,,Proprietary,128k,,41,75%,54%,3%,31%,33%,90%,76%,15%,84%,1361.0,,,,,,144.3,62.0,115.8,161.6,185.3,0.56,0.56,0.48,0.51,0.62,0.74,4.02,0.0,,ModelProviders,11/01/2024,,,,,,,,825712.0,2344886.0,47.90%,16.0,,,,,,,,259000000.0,1260000.0,221000000.0,0.0,True,True,,,260000000.0,25.40%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPazJb6CuZfUTKf6dtz5Z45.eval,,,161698.0,23118.0,,,,1.25,0.0,,130752,687990,,,16.0,65376,343995,,6.30%,26.70%,,,6.30%,,,,,,,,2.5,10.0,1.59457125,4.375
Llama 3.3 70B 12/01/2024,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,12/01/2024,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.13,0.4,0.071536685,0.1975
Llama 3.3 70B 01/01/2025,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,01/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.13,0.39,0.069936595625,0.195
Llama 3.3 70B 03/01/2025,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,03/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.12,0.3,0.054956321249999995,0.16499999999999998
Llama 3.3 70B 10/01/2025,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,10/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.13,0.28,0.0523356125,0.1675
Claude 3 Opus 04/01/2024,,,Proprietary,200k,,35,70%,49%,3%,28%,23%,67%,64%,3%,,1248.0,,,,,,28.0,23.7,26.2,29.1,31.3,1.12,1.12,0.97,1.05,1.25,1.9,19.01,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1359057.0,47.16%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,18.75,,144848,460033,,,16.0,72424,230016.5,,4.70%,26.70%,,,4.70%,506685,2812.0,,,,,,15.0,75.0,7.2481696875,30.0
GPT-4 Turbo 05/01/2024,,,Proprietary,128k,,,69%,,3%,29%,32%,,74%,15%,,1256.0,,,,,,34.6,18.6,26.2,40.8,52.4,0.71,0.71,0.56,0.63,0.87,1.17,15.17,0.0,,ModelProviders,05/01/2024,,,,,,,,414512.0,898893.0,46.60%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65592,272569,,,8.0,65592,272569,,,,6.70%,,6.70%,,,,,,,,10.0,30.0,3.88898875,15.0
Qwen2.5 Instruct 32B 04/01/2025,,,Open,128k,,37,70%,47%,4%,25%,23%,90%,81%,11%,,,,,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,32.0,,0.54,88.0,True,32,,921440.0,1767711.0,46.10%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152848,588275,,,16.0,,,,,,7.40%,,7.40%,662519,2774.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FNRCNnCCL5aQKsZf6cKC69Z.eval,,,,0.06,0.2,0.025551787500000003,0.095
Gemini 1.5 Pro (May) 09/01/2024,,,Proprietary,2m,,34,66%,37%,4%,24%,27%,87%,67%,8%,,1260.0,,,,,,65.1,62.6,63.9,67.7,69.3,0.38,0.38,0.35,0.37,0.41,0.44,8.06,0.0,,ModelProviders,09/01/2024,,,,,,,,809520.0,1090577.0,45.86%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPKdqpKZ9tqDWyWJ7GksBWz.eval,,,,,,,,,,,,,,,,,,,,,,132192,623624,,,16.0,,,,6.80%,40%,,,6.80%,694184,2782.0,gemini2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F3S6fjGAMKWKK3zcdxkmh9H.eval,,,,3.5,10.5,0.89277365625,5.25
Mistral Small (Sep '24) 10/01/2024,,,Open,33k,,27,53%,38%,4%,14%,16%,90%,56%,6%,,,,,,,,61.6,8.6,53.5,80.5,96.8,0.55,0.55,0.33,0.36,1.19,2.2,8.66,0.0,,ModelProviders,10/01/2024,22.0,,0.29,84.0,,,,821104.0,1641504.0,45.30%,16.0,,,,,,I Assume that since benchmark is 2025 it uses this version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.359101,1.5
Mistral Small (Sep '24) 12/01/2024,,,Open,33k,,27,53%,38%,4%,14%,16%,90%,56%,6%,,,,,,,,61.6,8.6,53.5,80.5,96.8,0.55,0.55,0.33,0.36,1.19,2.2,8.66,0.0,,ModelProviders,12/01/2024,22.0,,0.29,84.0,,,,821104.0,1641504.0,45.30%,16.0,,,,,,I Assume that since benchmark is 2025 it uses this version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,0.0718202,0.30000000000000004
DeepSeek R1 Distill Qwen 14B 03/01/2025,,,Open,128k,,49,74%,48%,4%,38%,24%,90%,95%,67%,,,,,,,,102.9,27.1,43.6,140.1,170.2,0.6,20.04,0.28,0.37,0.73,0.91,24.9,19.44,True,ModelProviders,03/01/2025,14.0,,0.28,168.0,True,14,,419512.0,23789803.0,44.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.88,2.66302465,0.88
DeepSeek R1 Distill Qwen 14B 06/01/2025,,,Open,128k,,49,74%,48%,4%,38%,24%,90%,95%,67%,,,,,,,,102.9,27.1,43.6,140.1,170.2,0.6,20.04,0.28,0.37,0.73,0.91,24.9,19.44,True,ModelProviders,06/01/2025,14.0,,0.28,168.0,True,14,,419512.0,23789803.0,44.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.6052328750000001,0.2
DeepSeek R1 Distill Qwen 14B 10/01/2025,,,Open,128k,,49,74%,48%,4%,38%,24%,90%,95%,67%,,,,,,,,102.9,27.1,43.6,140.1,170.2,0.6,20.04,0.28,0.37,0.73,0.91,24.9,19.44,True,ModelProviders,10/01/2025,14.0,,0.28,168.0,True,14,,419512.0,23789803.0,44.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,0.45392465624999995,0.15
Llama 3.1 70B 07/01/2024,,,Open,128k,,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,,,,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,07/01/2024,70.0,,,,False,70,,927216.0,2138814.0,44.19%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,2683151,,,16.0,63056,1341575.5,,3.60%,17.80%,,,3.60%,3012832,2828.0,1.5,,,,,0.52,0.75,0.13039142625,0.5775
Llama 3.1 70B 08/01/2024,,,Open,128k,,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,,,,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,08/01/2024,70.0,,,,False,70,,927216.0,2138814.0,44.19%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,2683151,,,16.0,63056,1341575.5,,3.60%,17.80%,,,3.60%,3012832,2828.0,1.5,,,,,0.35,0.4,0.0737532,0.36249999999999993
Llama 3.1 70B 09/01/2025,,,Open,128k,,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,,,,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,09/01/2025,70.0,,,,False,70,,927216.0,2138814.0,44.19%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,2683151,,,16.0,63056,1341575.5,,3.60%,17.80%,,,3.60%,3012832,2828.0,1.5,,,,,0.1,0.28,0.043224345,0.14500000000000002
Qwen Turbo 03/01/2025,,,Proprietary,1m,,34,63%,41%,4%,16%,15%,75%,81%,12%,,,,,,,,109.9,94.1,104.1,111.5,115.1,1.0,1.0,0.95,0.97,1.12,1.25,5.54,0.0,,ModelProviders,03/01/2025,,,,,,,,427392.0,974351.0,41.80%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68864,351271,,,8.0,,,,,,6.10%,,6.10%,3.91E+05,1400.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FG5gxbTH33S7LXA29o5fgmv.eval,,,,0.05,0.2,0.027029975000000005,0.08750000000000001
Llama 3.2 90B (Vision) 10/01/2024,,,Open,128k,,33,67%,43%,5%,21%,24%,88%,63%,5%,,,,,,,,37.0,25.6,32.5,43.5,60.7,0.36,0.36,0.17,0.2,0.5,0.63,13.88,0.0,,ModelProviders,10/01/2024,90.0,,0.21,61.0,False,90,,927328.0,2044474.0,41.00%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9SSHEP95FYVZvHDdoHSRy3.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.4,0.07139715,0.36249999999999993
Qwen2 72B 09/01/2024,,,Open,131k,,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,,,,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,09/01/2024,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPex6SpYJX8ZPySncfNNy7H.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,0.21459012250000004,1.79
Qwen2 72B 11/01/2024,,,Open,131k,,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,,,,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,11/01/2024,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPex6SpYJX8ZPySncfNNy7H.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.79,0.17066296250000001,1.1975
Qwen2 72B 12/01/2024,,,Open,131k,,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,,,,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,12/01/2024,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPex6SpYJX8ZPySncfNNy7H.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.107894475,0.9
Qwen2 72B 04/01/2025,,,Open,131k,,33,62%,37%,4%,16%,23%,80%,70%,15%,,1187.0,,,,,,31.1,30.8,30.9,46.1,46.8,1.27,1.27,1.0,1.16,1.3,1.7,17.34,0.0,,ModelProviders,04/01/2025,72.0,,0.48,42.0,True,72,,889664.0,1028460.0,40.78%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPex6SpYJX8ZPySncfNNy7H.eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.09590620000000001,0.8
Claude 3 Sonnet 04/01/2024,,,Proprietary,200k,,28,58%,40%,4%,18%,23%,40%,41%,5%,,1201.0,,,,,,60.1,52.3,58.6,61.7,64.8,0.55,0.55,0.49,0.5,0.6,1.14,8.86,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1469042.0,40.59%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144848,446822,,,16.0,72424,223411,,2.50%,11.10%,,,2.50%,,,,,,,,3.0,15.0,1.5527448750000001,6.0
Llama 3 70B 05/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,05/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.59,0.79,0.08031635875000001,0.64
Llama 3 70B 07/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,07/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.52,0.75,0.07411505374999999,0.5775
Llama 3 70B 09/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,09/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.35,0.4,0.043393749999999995,0.36249999999999993
Llama 3 70B 12/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,12/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.23,0.4,0.03700999,0.2725
Gemini 1.5 Flash (Sep) 09/01/2024,,,Proprietary,1m,,39,68%,46%,4%,27%,27%,87%,83%,18%,81%,1271.0,,,,,,191.8,179.5,186.9,197.1,202.9,0.22,0.22,0.2,0.21,0.22,0.26,2.83,0.0,,ModelProviders,09/01/2024,,,,,,,,809536.0,1140000.0,40.40%,16.0,,,,,,I Assume that since benchmark is 2025 it uses this version (most recent),,,,,,,,,,,,,,,,,,,,,,,132192,674343,,,16.0,66096,337171.5,,3.90%,22.20%,,,3.90%,744903,2824.0,benchmark done in 2025 so assume 1.5september,,,,,0.07,0.3,0.024916720000000003,0.1275
Gemini 1.5 Flash (May) 05/01/2024,,,Proprietary,1m,,28,57%,32%,4%,20%,18%,83%,55%,9%,,1227.0,,,,,,308.2,284.9,301.3,324.6,344.2,0.29,0.29,0.26,0.28,0.31,0.38,1.92,0.0,,ModelProviders,05/01/2024,,,,,,epoch does not mention month,,809504.0,1140579.0,40.37%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FHc2ycMP6DyCZxCPjKbZFQU.eval,,,,,,,,,,,,,,,,,,,,,,132192,674343,,,16.0,,,,3.90%,22.20%,,,3.90%,744903,2824.0,1.5flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FU9GVBhYjRzU55YVjna5mMT.eval,,,,0.07,0.3,0.02492743625,0.1275
Mistral Large (Feb '24) 05/01/2024,,,Proprietary,33k,,26,52%,35%,3%,18%,21%,73%,53%,0%,,1157.0,,,,,,31.4,18.7,30.2,32.1,32.6,0.56,0.56,0.43,0.46,0.66,1.2,16.5,0.0,,ModelProviders,05/01/2024,,,,,,,,928128.0,1152988.0,38.76%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143152,647403,,,16.0,71576,323701.5,,8.50%,35.60%,,,8.50%,,,assume 2402 correspond to feb 24,,,,,4.0,12.0,1.096773,6.0
Claude 3.5 Haiku 10/01/2024,,,Proprietary,200k,,35,63%,41%,4%,31%,27%,44%,72%,3%,78%,,,,,,,65.7,58.1,62.5,67.4,69.4,6.15,6.15,2.33,4.32,7.7,10.23,13.76,0.0,,ModelProviders,10/01/2024,,,,,,,,468048.0,461011.0,38.10%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144848,388342,,,16.0,72424,194171,,4.30%,26.70%,,,4.30%,441350,2818.0,1.5flash,,,,,0.8,4.0,0.2773103,1.6
GPT-4o mini 07/01/2024,,,Proprietary,128k,,36,65%,43%,4%,23%,23%,65%,79%,12%,80%,1273.0,,,,,,77.1,52.0,66.4,79.2,87.5,0.37,0.37,0.29,0.34,0.44,0.49,6.85,0.0,,ModelProviders,07/01/2024,,,,,,,,825712.0,1775831.0,37.72%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FL9yfwZC3snsKZshBXTaXjc.eval,,,,,,,,,,,,,,,,,,,,,,65376,345278,,,8.0,65376,345278,,,,6.90%,,6.90%,399246,1390.0,2.0flash,,,,,0.15,0.6,0.0743347125,0.26249999999999996
Claude 3 Haiku 04/01/2024,,,Proprietary,200k,,,,,,15%,19%,85%,39%,1%,68%,1179.0,,,,,,138.3,118.1,132.2,147.5,153.4,0.42,0.42,0.34,0.37,0.47,0.57,4.03,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1092395.0,36.49%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144848,410656,,,16.0,72424,205328,,1.80%,15.60%,,,1.80%,463530,2854.0,1.5flash,,,,,0.25,1.25,0.099969859375,0.5
Gemma 2 27B 08/01/2024,,,Open,8k,,,57%,36%,4%,,13%,83%,54%,9%,,1219.0,,,,,,,,,,,,,,,,,,,,ModelProviders,08/01/2024,27.0,,0.25,92.0,,27,,837792.0,1050847.0,36.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,254057,,,8.0,69336,254057,,,,1.40%,,1.40%,288209,1430.0,2.0flash,,,,,0.8,0.8,0.09443195000000001,0.8
Gemma 2 27B 03/01/2025,,,Open,8k,,,57%,36%,4%,,13%,83%,54%,9%,,1219.0,,,,,,,,,,,,,,,,,,,,ModelProviders,03/01/2025,27.0,,0.25,92.0,,27,,837792.0,1050847.0,36.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,254057,,,8.0,69336,254057,,,,1.40%,,1.40%,288209,1430.0,2.0flash,,,,,0.1,0.3,0.02493958125,0.15000000000000002
Claude 2.0 01/01/2025,,,Proprietary,100k,,,49%,34%,,17%,19%,,,0%,,1132.0,,,,,,30.7,29.5,30.2,31.6,33.1,0.88,0.88,0.79,0.83,0.95,1.4,17.18,0.0,,ModelProviders,01/01/2025,,,,,,,,845648.0,638337.0,34.65%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66992,125811,,,8.0,66992,125811,,,,2.50%,,2.50%,174948,1422.0,,,,,,8.0,24.0,1.3803295,12.0
Gemini 1.0 Pro 04/01/2025,,,Proprietary,33k,,21,43%,28%,5%,12%,12%,68%,40%,1%,,1111.0,,,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,,,,,,,,809552.0,689938.0,33.96%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FibpS8bs4z3wD3Hb6F3kpdV.eval,,,,,,,,,,,,,,,,,,,,,,132192,344276,,,16.0,66096,172138,,1.10%,11.10%,,,1.10%,409991,2864.0,1.5flash,,,,,0.13,0.38,0.022963637500000002,0.1925
Gemini 1.5 Flash-8B 10/01/2024,,,Proprietary,1m,,31,57%,36%,5%,22%,23%,94%,69%,3%,74%,1211.0,,,,,,284.9,270.6,276.7,290.9,298,0.21,0.21,0.17,0.19,0.22,0.29,1.97,0.0,,ModelProviders,10/01/2024,8.0,,,,,8,,403184.0,747224.0,33.00%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131472,643302,,,16.0,65736,321651,,4.60%,26.70%,,,4.60%,596868,2814.0,,,,,,0.04,0.15,0.016026369999999998,0.0675
Claude 2.1 04/01/2024,,,Proprietary,200k,,24,50%,32%,4%,20%,18%,2%,37%,3%,,1118.0,,,,,,14.1,13.5,13.7,14.2,14.4,0.85,0.85,0.79,0.82,0.87,0.95,36.32,0.0,,ModelProviders,04/01/2024,,,,,,,,845584.0,711769.0,32.90%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66992,127687,,,8.0,66992,127687,,,,1.90%,,1.90%,175284,1426.0,2,,,,,8.0,24.0,1.4904455,12.0
GPT-4 04/01/2024,,,Proprietary,8k,,,,,,,,,,,,1186.0,,,,,,23.6,19.6,22.0,25.6,28.2,0.74,0.74,0.58,0.66,0.85,1.16,21.97,0.0,,ModelProviders,04/01/2024,,,,,,,,838928.0,694183.0,30.65%,16.0,,,,,,epoch has a second mearuemtn here : https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FFkbLkW5ed8rnZGFJMevDFn.eval,,,,,,,,,,,,,,,,,,,,,,,65232,185822,,,8.0,,,,,,1.11%,,1.11%,523544,2512.0,epoch has two variants of GPT-4 this is latest one June 13,,,,,30.0,60.0,4.17617625,37.5
Mixtral 8x7B 04/01/2024,,,Open,33k,,17,39%,29%,5%,7%,3%,41%,30%,0%,,1114.0,,,,,,68.9,9.1,42.0,95.4,103.8,0.39,0.39,0.28,0.34,0.64,1.59,7.65,0.0,,ModelProviders,04/01/2024,46.7,12.9,0.27,88.0,,,,947552.0,1499603.0,30.58%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,0.041295740625,0.27
Mixtral 8x7B 05/01/2024,,,Open,33k,,17,39%,29%,5%,7%,3%,41%,30%,0%,,1114.0,,,,,,68.9,9.1,42.0,95.4,103.8,0.39,0.39,0.28,0.34,0.64,1.59,7.65,0.0,,ModelProviders,05/01/2024,46.7,12.9,0.27,88.0,,,,947552.0,1499603.0,30.58%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0.036707325,0.24
Mixtral 8x7B 11/01/2024,,,Open,33k,,17,39%,29%,5%,7%,3%,41%,30%,0%,,1114.0,,,,,,68.9,9.1,42.0,95.4,103.8,0.39,0.39,0.28,0.34,0.64,1.59,7.65,0.0,,ModelProviders,11/01/2024,46.7,12.9,0.27,88.0,,,,947552.0,1499603.0,30.58%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.24,0.027231804999999998,0.12
