Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,reasoning tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
GPT-4o mini 07/01/2024,,,Proprietary,128k,,36,65%,43%,4%,23%,23%,65%,79%,12%,80%,1273.0,,,,,,77.1,52.0,66.4,79.2,87.5,0.37,0.37,0.29,0.34,0.44,0.49,6.85,0.0,,ModelProviders,07/01/2024,,,,,,,,825712.0,1775831.0,37.72%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FL9yfwZC3snsKZshBXTaXjc.eval,,,,,,,,,,,,,,,,,,,,,,65376,345278,,,8.0,65376,345278,,,,6.90%,,6.90%,399246,1390.0,2.0flash,,,,,0.15,0.6,0.027121649999999997,0.26249999999999996
Claude 3 Haiku 04/01/2024,,,Proprietary,200k,,,,,,15%,19%,85%,39%,1%,68%,1179.0,,,,,,138.3,118.1,132.2,147.5,153.4,0.42,0.42,0.34,0.37,0.47,0.57,4.03,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1092395.0,36.49%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144848,410656,,,16.0,72424,205328,,1.80%,15.60%,,,1.80%,463530,2854.0,1.5flash,,,,,0.25,1.25,0.03434575,0.5
Gemma 2 27B 08/01/2024,,,Open,8k,,,57%,36%,4%,,13%,83%,54%,9%,,1219.0,,,,,,,,,,,,,,,,,,,,ModelProviders,08/01/2024,27.0,,0.25,92.0,,27,,837792.0,1050847.0,36.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,254057,,,8.0,69336,254057,,,,1.40%,,1.40%,288209,1430.0,2.0flash,,,,,0.8,0.8,0.0323393,0.8
Gemma 2 27B 03/01/2025,,,Open,8k,,,57%,36%,4%,,13%,83%,54%,9%,,1219.0,,,,,,,,,,,,,,,,,,,,ModelProviders,03/01/2025,27.0,,0.25,92.0,,27,,837792.0,1050847.0,36.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,254057,,,8.0,69336,254057,,,,1.40%,,1.40%,288209,1430.0,2.0flash,,,,,0.1,0.3,0.0103938375,0.15000000000000002
Gemini 1.0 Pro 04/01/2025,,,Proprietary,33k,,21,43%,28%,5%,12%,12%,68%,40%,1%,,1111.0,,,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,,,,,,,,809552.0,689938.0,33.96%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FibpS8bs4z3wD3Hb6F3kpdV.eval,,,,,,,,,,,,,,,,,,,,,,132192,344276,,,16.0,66096,172138,,1.10%,11.10%,,,1.10%,409991,2864.0,1.5flash,,,,,0.13,0.38,0.009250615,0.1925
Gemini 1.5 Flash-8B 10/01/2024,,,Proprietary,1m,,31,57%,36%,5%,22%,23%,94%,69%,3%,74%,1211.0,,,,,,284.9,270.6,276.7,290.9,298,0.21,0.21,0.17,0.19,0.22,0.29,1.97,0.0,,ModelProviders,10/01/2024,8.0,,,,,8,,403184.0,747224.0,33.00%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131472,643302,,,16.0,65736,321651,,4.60%,26.70%,,,4.60%,596868,2814.0,,,,,,0.04,0.15,0.00635963625,0.0675
Claude 2.1 04/01/2024,,,Proprietary,200k,,24,50%,32%,4%,20%,18%,2%,37%,3%,,1118.0,,,,,,14.1,13.5,13.7,14.2,14.4,0.85,0.85,0.79,0.82,0.87,0.95,36.32,0.0,,ModelProviders,04/01/2024,,,,,,,,845584.0,711769.0,32.90%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66992,127687,,,8.0,66992,127687,,,,1.90%,,1.90%,175284,1426.0,2,,,,,8.0,24.0,0.450053,12.0
GPT-4 04/01/2024,,,Proprietary,8k,,,,,,,,,,,,1186.0,,,,,,23.6,19.6,22.0,25.6,28.2,0.74,0.74,0.58,0.66,0.85,1.16,21.97,0.0,,ModelProviders,04/01/2024,,,,,,,,838928.0,694183.0,30.65%,16.0,,,,,,epoch has a second mearuemtn here : https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FFkbLkW5ed8rnZGFJMevDFn.eval,,,,,,,,,,,,,,,,,,,,,,,65232,185822,,,8.0,,,,,,1.11%,,1.11%,523544,2512.0,epoch has two variants of GPT-4 this is latest one June 13,,,,,30.0,60.0,1.638285,37.5
Gemma 2 9B 07/01/2024,,,Open,8k,,22,50%,31%,4%,13%,1%,88%,52%,0%,,1190.0,,,,,,,,,,,,,,,,,,,,ModelProviders,07/01/2024,9.0,,0.21,729.0,False,9,,837808.0,1006493.0,27.46%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,214560,,,8.0,69336,214560,,,,0.60%,,0.60%,248805,1436.0,2.00%,,,,,0.2,0.2,0.0070974,0.2
Gemma 2 9B 08/01/2024,,,Open,8k,,22,50%,31%,4%,13%,1%,88%,52%,0%,,1190.0,,,,,,,,,,,,,,,,,,,,ModelProviders,08/01/2024,9.0,,0.21,729.0,False,9,,837808.0,1006493.0,27.46%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,214560,,,8.0,69336,214560,,,,0.60%,,0.60%,248805,1436.0,2.00%,,,,,0.09,0.09,0.00319383,0.09
Gemma 2 9B 12/01/2024,,,Open,8k,,22,50%,31%,4%,13%,1%,88%,52%,0%,,1190.0,,,,,,,,,,,,,,,,,,,,ModelProviders,12/01/2024,9.0,,0.21,729.0,False,9,,837808.0,1006493.0,27.46%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,214560,,,8.0,69336,214560,,,,0.60%,,0.60%,248805,1436.0,2.00%,,,,,0.02,0.06,0.00178254,0.03
Llama 2 Chat 70B 05/01/2024,,,Open,4k,,,41%,33%,5%,10%,,,32%,,,1093.0,,,,,,,,,,,,,,,,,,,,ModelProviders,05/01/2024,70.0,,,,,epoch list this as llama 2 chat 70b hf,,956816.0,1361586.0,26.32%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148464,553383,,,16.0,74232,276691.5,,0.00%,0.00%,,,0.00%,587969,2880.0,,,,,,0.6,0.8,0.03323655,0.6499999999999999
Llama 3 8B 04/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,04/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.05,0.1,0.0033947812500000002,0.0625
Llama 3 8B 05/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,05/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.05,0.08,0.002799595,0.05750000000000001
Llama 3 8B 07/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,07/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.05,0.06,0.0022044087499999998,0.052500000000000005
Llama 3 8B 12/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,12/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.03,0.06,0.00203686875,0.0375
Llama 3 8B 05/01/2025,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,05/01/2025,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.03,0.04,0.0014416825,0.0325
Llama 3.1 8B 07/01/2024,,,Open,128k,,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,,,,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,07/01/2024,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,3998566,,,16.0,63056,1999283,,2.50%,4.40%,,,2.50%,4482402,2844.0,,,,,,0.05,0.08,0.020386930000000004,0.05750000000000001
Llama 3.1 8B 04/01/2025,,,Open,128k,,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,,,,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,04/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,3998566,,,16.0,63056,1999283,,2.50%,4.40%,,,2.50%,4482402,2844.0,,,,,,0.02,0.04,0.010154055000000002,0.025
Llama 3.1 8B 09/01/2025,,,Open,128k,,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,,,,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,09/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,3998566,,,16.0,63056,1999283,,2.50%,4.40%,,,2.50%,4482402,2844.0,,,,,,0.01,0.02,0.005077027500000001,0.0125
Claude 4.5 Sonnet (Reasoning) (AIME 2) 10/01/2025,claude-4-5-sonnet-thinking,Anthropic,Proprietary,,10/25/25,62.7,0.714,0.834,0.173,0.714,0.447,,,,,,0.573,0.657,0.333,0.781,,60.813,,,,,,,,,,,,,True,,10/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10313,987258,344373.0,True,8.0,,,,,,77.80%,,77.80%,,,,,,,,3.0,15.0,1.854976125,6.0
Claude 4.1 Opus (Extended Thinking) 07/01/2025,,Anthropic,Proprietary,,,6100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,07/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10313,663861,261000.0,True,8.0,,,,,,68.90%,,68.90%,47780,118.0,,,,,,15.0,75.0,6.2430337499999995,30.0
Claude 4.1 Opus (Extended Thinking) (Option 2) (AIME) 07/01/2025,,Anthropic,Proprietary,,,6100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,07/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10313,489938,193000.0,True,8.0,,,,,,64.40%,,64.40%,42787,122.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fkf9vy9sMjMBBswrX6NMzce.eval,,,,15.0,75.0,4.612505625,30.0
Magistral Medium 06/01/2025,,Mistral,Proprietary,128k,,,75.30%,67.90%,9.50%,52.70%,29.70%,,0.917,0.7,,,,,,,,,,,,,,,,,,,,,True,,06/01/2025,,,,,,On Sheet it is mentioned as GPQA not GPQA diamond Scientific Reasongng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66792,1431545,,,8.0,66792,1431545,,,,32.20%,,32.20%,1523997,1208.0,,,,,,2.0,5.0,0.911413625,2.75
Claude 4 Sonnet (Option 2) (AIME) 05/01/2025,,Anthropic,Proprietary,200k,,,83.70%,68.30%,4.00%,44.90%,37.30%,,93.40%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.75,,10313,1.09E+06,434713.0,False,1.0,,,,,,68.90%,,68.90%,51391,118.0,flash2.0,,,,,3.0,15.0,22.901634,6.0
Claude 4 Sonnet (Option 3) (AIME) 05/01/2025,,Anthropic,Proprietary,200k,,,83.70%,68.30%,4.00%,44.90%,37.30%,,93.40%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.75,,10313,7.68E+05,307158.0,False,1.0,,,,,,71.10%,,71.10%,50938,116.0,flash2.0,,,,,3.0,15.0,16.158309,6.0
Claude 4 Sonnet (Option 4) (AIME) 05/01/2025,,Anthropic,Proprietary,200k,,,83.70%,68.30%,4.00%,44.90%,37.30%,,93.40%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.75,,10313,4.18E+05,219806.0,False,1.0,,,,,,53.30%,,53.30%,43941,132.0,flash2.0,,,,,3.0,15.0,9.598029,6.0
Gemini 2.5 Flash Preview (May '25) 05/01/2025,,Google,Proprietary,,,,80.90%,68.30%,5.10%,49.50%,29.10%,,93.20%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66264,1014846,,,8.0,,,,,,70.80%,,70.80%,1052114,930.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9e62UjoHQbcZD2xjgfRkdK.eval,,,,0.15,0.6,0.0773559,0.26249999999999996
o1-mini (Option 2) (high) (AIME) 09/01/2024,,,Proprietary,128k,,54,74%,60%,5%,58%,32%,69%,94%,60%,83%,1308.0,,,,,,214.4,95.3,188.1,227.3,241.2,9.97,9.97,2.29,8.25,11.5,14.52,12.3,0.0,,ModelProviders,09/01/2024,,,,,,epoch has multiple o1 minis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67488,3023146,,,8.0,,,,,,46.90%,,46.90%,251103,1102.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9zhPZLvNeUPQ7JBSpTwKPp.eval,,,,1.1,4.4,1.6720099,1.9250000000000003
Mistral Large 2 (Jul '24) 01/01/2025,,,Open,128k,,37,68%,47%,3%,27%,27%,93%,71%,9%,,1251.0,,,,,,36.5,10.4,32.6,40,42.8,0.52,0.52,0.42,0.47,1.3,2.95,14.2,0.0,,ModelProviders,01/01/2025,123.0,,0.43,85.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143152,647403,,,16.0,71576,323701.5,,8.50%,35.60%,,,8.50%,,,,,,,,2.0,6.0,0.26067012500000003,3.0
o3-mini (medium) (Option2) (AIME) 01/01/2025,,,Proprietary,200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129743,5176160,,,16.0,,,,63.90%,86.70%,,,86.70%,1018077,1960.0,1.5flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FajytUBY9bDPNNxuBfi5UBS.eval,,,,1.1,4.4,1.43236383125,1.9250000000000003
